ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
LRRC40	leucine rich repeat containing 40(LRRC40)	Homo sapiens			Function unknown,		GO:0016020~membrane,		IPR001611:Leucine-rich repeat,IPR003591:Leucine-rich repeat, typical subtype,				SM00369:LRR_TYP,	Complete proteome,Leucine-rich repeat,Phosphoprotein,Polymorphism,Reference proteome,Repeat,	chain:Leucine-rich repeat-containing protein 40,modified residue,repeat:LRR 1,repeat:LRR 10,repeat:LRR 11,repeat:LRR 12,repeat:LRR 13,repeat:LRR 14,repeat:LRR 15,repeat:LRR 16,repeat:LRR 17,repeat:LRR 18,repeat:LRR 19,repeat:LRR 2,repeat:LRR 20,repeat:LRR 21,repeat:LRR 3,repeat:LRR 4,repeat:LRR 5,repeat:LRR 6,repeat:LRR 7,repeat:LRR 8,repeat:LRR 9,sequence conflict,sequence variant,
LRRC41	leucine rich repeat containing 41(LRRC41)	Homo sapiens				GO:0016567~protein ubiquitination,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0016020~membrane,	GO:0042803~protein homodimerization activity,	IPR026137:Leucine-rich repeat-containing  41,					Alternative splicing,Complete proteome,Leucine-rich repeat,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Ubl conjugation pathway,	chain:Leucine-rich repeat-containing protein 41,modified residue,region of interest:Interaction with Elongin BC complex,repeat:LRR 1,repeat:LRR 2,repeat:LRR 3,repeat:LRR 4,repeat:LRR 5,repeat:LRR 6,repeat:LRR 7,sequence conflict,sequence variant,splice variant,
LRRC42	leucine rich repeat containing 42(LRRC42)	Homo sapiens							IPR001611:Leucine-rich repeat,					Complete proteome,Leucine-rich repeat,Phosphoprotein,Proteomics identification,Reference proteome,Repeat,	chain:Leucine-rich repeat-containing protein 42,modified residue,repeat:LRR 1,repeat:LRR 2,sequence conflict,
LRRC47	leucine rich repeat containing 47(LRRC47)	Homo sapiens				GO:0006432~phenylalanyl-tRNA aminoacylation,	GO:0009328~phenylalanine-tRNA ligase complex,	GO:0003723~RNA binding,GO:0004826~phenylalanine-tRNA ligase activity,GO:0005515~protein binding,GO:0044822~poly(A) RNA binding,	IPR001611:Leucine-rich repeat,IPR003591:Leucine-rich repeat, typical subtype,IPR005146:B3/B4 tRNA-binding domain,				SM00369:LRR_TYP,SM00873:SM00873,	Acetylation,Coiled coil,Complete proteome,Direct protein sequencing,Leucine-rich repeat,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,	chain:Leucine-rich repeat-containing protein 47,compositionally biased region:Poly-Ala,modified residue,repeat:LRR 1,repeat:LRR 2,repeat:LRR 3,repeat:LRR 4,repeat:LRR 5,repeat:LRR 6,repeat:LRR 7,sequence variant,
LRRC52	leucine rich repeat containing 52(LRRC52)	Homo sapiens			Function unknown,	GO:0006811~ion transport,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,		IPR000372:Leucine-rich repeat-containing N-terminal,IPR001611:Leucine-rich repeat,IPR003591:Leucine-rich repeat, typical subtype,				SM00013:LRRNT,SM00369:LRR_TYP,	Cell membrane,Complete proteome,Disulfide bond,Glycoprotein,Ion channel,Ion transport,Leucine-rich repeat,Membrane,Polymorphism,Reference proteome,Repeat,Signal,Transmembrane,Transmembrane helix,Transport,	chain:Leucine-rich repeat-containing protein 52,glycosylation site:N-linked (GlcNAc...),repeat:LRR 1,repeat:LRR 2,repeat:LRR 3,repeat:LRR 4,repeat:LRR 5,sequence conflict,sequence variant,signal peptide,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
LRRC7	leucine rich repeat containing 7(LRRC7)	Homo sapiens					GO:0005737~cytoplasm,GO:0014069~postsynaptic density,GO:0030054~cell junction,GO:0045211~postsynaptic membrane,	GO:0005515~protein binding,	IPR001478:PDZ domain,IPR001611:Leucine-rich repeat,IPR003591:Leucine-rich repeat, typical subtype,				SM00228:PDZ,SM00369:LRR_TYP,	Alternative splicing,Cell junction,Cell membrane,Complete proteome,Cytoplasm,Leucine-rich repeat,Membrane,Methylation,Phosphoprotein,Polymorphism,Postsynaptic cell membrane,Proteomics identification,Reference proteome,Repeat,Synapse,	chain:Leucine-rich repeat-containing protein 7,domain:PDZ,modified residue,repeat:LRR 1,repeat:LRR 10,repeat:LRR 11,repeat:LRR 12,repeat:LRR 13,repeat:LRR 14,repeat:LRR 15,repeat:LRR 16,repeat:LRR 17,repeat:LRR 18,repeat:LRR 2,repeat:LRR 3,repeat:LRR 4,repeat:LRR 5,repeat:LRR 6,repeat:LRR 7,repeat:LRR 8,repeat:LRR 9,sequence conflict,sequence variant,splice variant,
LRRC71	leucine rich repeat containing 71(LRRC71)	Homo sapiens							IPR001611:Leucine-rich repeat,					Alternative splicing,Complete proteome,Leucine-rich repeat,Polymorphism,Reference proteome,Repeat,	chain:Leucine-rich repeat-containing protein C10orf92,repeat:LRR 1,repeat:LRR 2,repeat:LRR 3,repeat:LRR 4,repeat:LRR 5,sequence variant,splice variant,
LRRC8C	leucine rich repeat containing 8 family member C(LRRC8C)	Homo sapiens			Function unknown,	GO:0044070~regulation of anion transport,GO:0045444~fat cell differentiation,GO:0098656~anion transmembrane transport,	GO:0005737~cytoplasm,GO:0005789~endoplasmic reticulum membrane,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0005225~volume-sensitive anion channel activity,GO:0005515~protein binding,	IPR001611:Leucine-rich repeat,IPR003591:Leucine-rich repeat, typical subtype,IPR021040:Leucine-rich repeat-containing protein 8, N-terminal,IPR026906:Leucine rich repeat 5,				SM00369:LRR_TYP,	Acetylation,Cell membrane,Complete proteome,Endoplasmic reticulum,Glycoprotein,Ion channel,Ion transport,Leucine-rich repeat,Membrane,Phosphoprotein,Polymorphism,Reference proteome,Repeat,Transmembrane,Transmembrane helix,Transport,	chain:Leucine-rich repeat-containing protein 8C,glycosylation site:N-linked (GlcNAc...),modified residue,repeat:LRR 1,repeat:LRR 10,repeat:LRR 11,repeat:LRR 12,repeat:LRR 13,repeat:LRR 14,repeat:LRR 2,repeat:LRR 3,repeat:LRR 4,repeat:LRR 5,repeat:LRR 6,repeat:LRR 7,repeat:LRR 8,repeat:LRR 9,sequence conflict,sequence variant,transmembrane region,
LRRC8D	leucine rich repeat containing 8 family member D(LRRC8D)	Homo sapiens				GO:0044070~regulation of anion transport,GO:0098656~anion transmembrane transport,	GO:0005737~cytoplasm,GO:0005789~endoplasmic reticulum membrane,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0005225~volume-sensitive anion channel activity,GO:0005515~protein binding,	IPR001611:Leucine-rich repeat,IPR003591:Leucine-rich repeat, typical subtype,IPR021040:Leucine-rich repeat-containing protein 8, N-terminal,				SM00369:LRR_TYP,	Cell membrane,Complete proteome,Endoplasmic reticulum,Ion channel,Ion transport,Leucine-rich repeat,Membrane,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Transmembrane,Transmembrane helix,Transport,	chain:Leucine-rich repeat-containing protein 8D,glycosylation site:N-linked (GlcNAc...),modified residue,repeat:LRR 1,repeat:LRR 10,repeat:LRR 11,repeat:LRR 12,repeat:LRR 2,repeat:LRR 3,repeat:LRR 4,repeat:LRR 5,repeat:LRR 6,repeat:LRR 7,repeat:LRR 8,repeat:LRR 9,sequence variant,transmembrane region,
LGR6	leucine rich repeat containing G protein-coupled receptor 6(LGR6)	Homo sapiens				GO:0007186~G-protein coupled receptor signaling pathway,GO:0016055~Wnt signaling pathway,GO:0030177~positive regulation of Wnt signaling pathway,GO:0030335~positive regulation of cell migration,GO:0090263~positive regulation of canonical Wnt signaling pathway,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0031982~vesicle,GO:0032588~trans-Golgi network membrane,	GO:0004888~transmembrane signaling receptor activity,GO:0004930~G-protein coupled receptor activity,GO:0005515~protein binding,	IPR000276:G protein-coupled receptor, rhodopsin-like,IPR000372:Leucine-rich repeat-containing N-terminal,IPR001611:Leucine-rich repeat,IPR002131:Glycoprotein hormone receptor,IPR003591:Leucine-rich repeat, typical subtype,				SM00013:LRRNT,SM00369:LRR_TYP,	Alternative splicing,Cell membrane,Complete proteome,Disulfide bond,G-protein coupled receptor,Glycoprotein,Leucine-rich repeat,Membrane,Polymorphism,Proteomics identification,Receptor,Reference proteome,Repeat,Signal,Transducer,Transmembrane,Transmembrane helix,Tumor suppressor,Wnt signaling pathway,	chain:Leucine-rich repeat-containing G-protein coupled receptor 6,compositionally biased region:Poly-Gly,disulfide bond,glycosylation site:N-linked (GlcNAc...),modified residue,repeat:LRR 1,repeat:LRR 10,repeat:LRR 11,repeat:LRR 12,repeat:LRR 13,repeat:LRR 14,repeat:LRR 15,repeat:LRR 16,repeat:LRR 2,repeat:LRR 3,repeat:LRR 4,repeat:LRR 5,repeat:LRR 6,repeat:LRR 7,repeat:LRR 8,repeat:LRR 9,sequence conflict,sequence variant,signal peptide,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
LRRN1	leucine rich repeat neuronal 1(LRRN1)	Homo sapiens				GO:0007409~axonogenesis,GO:0051965~positive regulation of synapse assembly,	GO:0016021~integral component of membrane,		IPR000483:Cysteine-rich flanking region, C-terminal,IPR001611:Leucine-rich repeat,IPR003591:Leucine-rich repeat, typical subtype,IPR003598:Immunoglobulin subtype 2,IPR003599:Immunoglobulin subtype,IPR003961:Fibronectin, type III,IPR007110:Immunoglobulin-like domain,IPR013098:Immunoglobulin I-set,IPR013783:Immunoglobulin-like fold,				SM00082:LRRCT,SM00369:LRR_TYP,SM00408:IGc2,SM00409:IG,	Complete proteome,Direct protein sequencing,Disulfide bond,Glycoprotein,Immunoglobulin domain,Leucine-rich repeat,Membrane,Polymorphism,Reference proteome,Repeat,Signal,Transmembrane,Transmembrane helix,	chain:Leucine-rich repeat neuronal protein 1,disulfide bond,domain:Fibronectin type-III,domain:Ig-like C2-type,glycosylation site:N-linked (GlcNAc...),repeat:LRR 1,repeat:LRR 10,repeat:LRR 11,repeat:LRR 2,repeat:LRR 3,repeat:LRR 4,repeat:LRR 5,repeat:LRR 6,repeat:LRR 7,repeat:LRR 8,repeat:LRR 9,sequence conflict,sequence variant,signal peptide,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
LRRN2	leucine rich repeat neuronal 2(LRRN2)	Homo sapiens				GO:0007155~cell adhesion,GO:0007165~signal transduction,GO:0007409~axonogenesis,	GO:0016021~integral component of membrane,	GO:0004872~receptor activity,	IPR000483:Cysteine-rich flanking region, C-terminal,IPR001611:Leucine-rich repeat,IPR003591:Leucine-rich repeat, typical subtype,IPR003598:Immunoglobulin subtype 2,IPR003599:Immunoglobulin subtype,IPR007110:Immunoglobulin-like domain,IPR013098:Immunoglobulin I-set,IPR013783:Immunoglobulin-like fold,				SM00082:LRRCT,SM00369:LRR_TYP,SM00408:IGc2,SM00409:IG,	Complete proteome,Disulfide bond,Glycoprotein,Immunoglobulin domain,Leucine-rich repeat,Membrane,Polymorphism,Reference proteome,Repeat,Signal,Transmembrane,Transmembrane helix,	chain:Leucine-rich repeat neuronal protein 2,disulfide bond,domain:Ig-like C2-type,glycosylation site:N-linked (GlcNAc...),repeat:LRR 1,repeat:LRR 10,repeat:LRR 11,repeat:LRR 2,repeat:LRR 3,repeat:LRR 4,repeat:LRR 5,repeat:LRR 6,repeat:LRR 7,repeat:LRR 8,repeat:LRR 9,sequence conflict,sequence variant,signal peptide,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
LRRTM4	leucine rich repeat transmembrane neuronal 4(LRRTM4)	Homo sapiens				GO:0006469~negative regulation of protein kinase activity,GO:0019221~cytokine-mediated signaling pathway,GO:0046426~negative regulation of JAK-STAT cascade,GO:0050808~synapse organization,	GO:0005737~cytoplasm,GO:0016021~integral component of membrane,GO:0030054~cell junction,GO:0045211~postsynaptic membrane,	GO:0004860~protein kinase inhibitor activity,	IPR001611:Leucine-rich repeat,IPR003591:Leucine-rich repeat, typical subtype,				SM00369:LRR_TYP,	Alternative splicing,Cell junction,Cell membrane,Complete proteome,Glycoprotein,Leucine-rich repeat,Membrane,Postsynaptic cell membrane,Proteomics identification,Reference proteome,Repeat,Signal,Synapse,Transmembrane,Transmembrane helix,	chain:Leucine-rich repeat transmembrane neuronal protein 4,glycosylation site:N-linked (GlcNAc...),repeat:LRR 1,repeat:LRR 10,repeat:LRR 2,repeat:LRR 3,repeat:LRR 4,repeat:LRR 5,repeat:LRR 6,repeat:LRR 7,repeat:LRR 8,repeat:LRR 9,signal peptide,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
LRRIQ3	leucine rich repeats and IQ motif containing 3(LRRIQ3)	Homo sapiens						GO:0005515~protein binding,	IPR000048:IQ motif, EF-hand binding site,IPR001611:Leucine-rich repeat,IPR025875:Leucine rich repeat 4,					Alternative splicing,Coiled coil,Complete proteome,Leucine-rich repeat,Polymorphism,Proteomics identification,Reference proteome,Repeat,	chain:Leucine-rich repeat and IQ domain- containing protein 3,domain:IQ,repeat:LRR 1,repeat:LRR 2,sequence conflict,sequence variant,splice variant,
LRIG1	leucine rich repeats and immunoglobulin like domains 1(LRIG1)	Homo sapiens				GO:0007605~sensory perception of sound,GO:0032474~otolith morphogenesis,GO:0060384~innervation,	GO:0016021~integral component of membrane,		IPR000372:Leucine-rich repeat-containing N-terminal,IPR000483:Cysteine-rich flanking region, C-terminal,IPR001611:Leucine-rich repeat,IPR003591:Leucine-rich repeat, typical subtype,IPR003598:Immunoglobulin subtype 2,IPR003599:Immunoglobulin subtype,IPR007110:Immunoglobulin-like domain,IPR013098:Immunoglobulin I-set,IPR013783:Immunoglobulin-like fold,				SM00013:LRRNT,SM00082:LRRCT,SM00369:LRR_TYP,SM00408:IGc2,SM00409:IG,	3D-structure,Alternative splicing,Complete proteome,Disulfide bond,Glycoprotein,Immunoglobulin domain,Leucine-rich repeat,Membrane,Polymorphism,Reference proteome,Repeat,Signal,Transmembrane,Transmembrane helix,	chain:Leucine-rich repeats and immunoglobulin- like domains protein 1,compositionally biased region:Poly-Ser,disulfide bond,domain:Ig-like C2-type 1,domain:Ig-like C2-type 2,domain:Ig-like C2-type 3,glycosylation site:N-linked (GlcNAc...),repeat:LRR 1,repeat:LRR 10,repeat:LRR 11,repeat:LRR 12,repeat:LRR 13,repeat:LRR 14,repeat:LRR 15,repeat:LRR 16,repeat:LRR 17,repeat:LRR 2,repeat:LRR 3,repeat:LRR 4,repeat:LRR 5,repeat:LRR 6,repeat:LRR 7,repeat:LRR 8,repeat:LRR 9,sequence conflict,sequence variant,signal peptide,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
LRIG2	leucine rich repeats and immunoglobulin like domains 2(LRIG2)	Homo sapiens			Function unknown,	GO:0007605~sensory perception of sound,GO:0010640~regulation of platelet-derived growth factor receptor signaling pathway,GO:0060384~innervation,	GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,		IPR000483:Cysteine-rich flanking region, C-terminal,IPR001611:Leucine-rich repeat,IPR003591:Leucine-rich repeat, typical subtype,IPR003598:Immunoglobulin subtype 2,IPR003599:Immunoglobulin subtype,IPR007110:Immunoglobulin-like domain,IPR013098:Immunoglobulin I-set,IPR013783:Immunoglobulin-like fold,		615112~Urofacial syndrome 2,		SM00082:LRRCT,SM00369:LRR_TYP,SM00408:IGc2,SM00409:IG,	Cell membrane,Complete proteome,Cytoplasm,Disulfide bond,Glycoprotein,Immunoglobulin domain,Leucine-rich repeat,Membrane,Phosphoprotein,Reference proteome,Repeat,Signal,Transmembrane,Transmembrane helix,	chain:Leucine-rich repeats and immunoglobulin- like domains protein 2,disulfide bond,domain:Ig-like C2-type 1,domain:Ig-like C2-type 2,domain:Ig-like C2-type 3,glycosylation site:N-linked (GlcNAc...),modified residue,repeat:LRR 1,repeat:LRR 10,repeat:LRR 11,repeat:LRR 12,repeat:LRR 13,repeat:LRR 14,repeat:LRR 2,repeat:LRR 3,repeat:LRR 4,repeat:LRR 5,repeat:LRR 6,repeat:LRR 7,repeat:LRR 8,repeat:LRR 9,signal peptide,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
LRTM1	leucine rich repeats and transmembrane domains 1(LRTM1)	Homo sapiens			Function unknown,	GO:0006469~negative regulation of protein kinase activity,GO:0019221~cytokine-mediated signaling pathway,GO:0046426~negative regulation of JAK-STAT cascade,GO:0051965~positive regulation of synapse assembly,	GO:0005737~cytoplasm,GO:0016021~integral component of membrane,	GO:0004860~protein kinase inhibitor activity,	IPR000483:Cysteine-rich flanking region, C-terminal,IPR001611:Leucine-rich repeat,IPR003591:Leucine-rich repeat, typical subtype,				SM00082:LRRCT,SM00369:LRR_TYP,	Alternative splicing,Complete proteome,Glycoprotein,Leucine-rich repeat,Membrane,Polymorphism,Reference proteome,Repeat,Signal,Transmembrane,Transmembrane helix,	chain:Leucine-rich repeat and transmembrane domain-containing protein 1,glycosylation site:N-linked (GlcNAc...),modified residue,repeat:LRR 1,repeat:LRR 2,repeat:LRR 3,repeat:LRR 4,repeat:LRR 5,sequence variant,signal peptide,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
